date,us,uk,jpn,us_return,uk_return,jpn_return,us_innovation,us_prediction,uk_innovation,uk_prediction,jpn_innovation,jpn_prediction,radius,inclination,azimuth
2001/7/3,1234.45,5639.91,12817.41,-0.0018291010133621249,-0.01352010936679773,0.005180586659332192,-0.21070500911893256,-0.0012580982676498812,-1.2659155391685084,-0.009057383451432281,0.3595814897762522,0.0034510262963319688,1.3327556418810667,0.27318845366614103,-1.7357290880393201
2001/7/4,1234.45,5600.49,12629.02,0,-0.007014014022635799,-0.014807062681536618,-0.027262277982967223,7.261115895028136e-5,-0.6000947006090305,-0.004199740861909701,-1.2282625369453042,-0.009533982470982354,1.367291388535442,-1.1159261026336345,-1.6161950709906765
2001/7/5,1219.24,5549.61,12607.3,-0.01239781294422615,-0.009126438894200051,-0.0017213290497967982,-1.2995022530042455,-0.009156327579448433,-0.7566669191865016,-0.005342047971046569,-0.1671292397697678,-8.56288103505451e-4,1.5130046645467825,-0.11068769549539477,-2.614308640186344
2001/7/6,1190.59,5479.24,12306.08,-0.023778731235622238,-0.012761249808275227,-0.024182562078604877,-2.3003920514854976,-0.01641686868445279,-1.008045818367917,-0.007176038101804341,-1.9214667878507579,-0.015202841076781255,3.1622768030772086,-0.6530621775704293,-2.7285897087147335
2001/7/9,1198.78,5468.86,12239.68,0.006855390395796938,-0.0018962200035143428,-0.005410316239465245,0.5487724313349915,0.004251216726974379,-0.15060605617458872,-9.203974465917263e-4,-0.401831178760314,-0.0027756244389453683,0.6966359607238811,-0.6148262377369657,-0.26784711894591123
2001/7/10,1181.52,5467.9,12300.41,-0.014502627835268027,-1.7555473512546185e-4,0.004949462204586498,-1.2737660306280274,-0.008969634797951804,-0.02639872318080104,-1.4215489314733655e-5,0.3063797401152525,0.0030159551091380353,1.3103607665526875,0.23599782994242402,-3.120870681187107
2001/7/11,1180.18,5391.86,12005.11,-0.0011347759188676657,-0.014004221590852893,-0.02430020267611097,-0.11330993989172894,-5.515860176280796e-4,-1.1016897839777944,-0.007859238280072256,-1.7906423518011942,-0.014132990121338241,2.1054594640276068,-1.016889198701301,-1.6732869869414433
2001/7/12,1208.14,5481.58,12407.95,0.023415017620112864,0.016502971690013194,0.03300500372778267,1.890494169609711,0.013984182181316527,1.1693213699630736,0.008709423834095733,2.0750852896164935,0.017480006162370693,3.040930717849947,0.7510202739649011,0.5539309051453514
2001/7/13,1215.68,5536.98,12355.15,0.006221604179960786,0.010055845198764854,-0.004264416007289089,0.5201164248867526,0.004043343579462619,0.7599725029595845,0.005722929006701812,-0.2982627649636307,-0.0019286667160615446,0.9680082528859879,-0.3132163214055304,0.9706249146080744
2001/7/16,1202.45,5517.12,12343.37,-0.010942448925398474,-0.003593240764662487,-9.539033831377681e-4,-1.0128420241244211,-0.007076869503134641,-0.30840423320207827,-0.002071648805645252,-0.09412960646735287,-2.5931455793641155e-4,1.0629310982858273,-0.08867279789205187,-2.8460181176746984
2001/7/17,1214.44,5427.76,12128.57,0.009921923101473006,-0.016329459190791814,-0.017555250341055654,0.8297665771834315,0.0062895725472594255,-1.3599770128875328,-0.009743629652075904,-1.2188796825847734,-0.009457251731637958,2.005920668623553,-0.6530869896639678,-1.0229595358588215
2001/7/18,1207.71,5404.59,11892.58,-0.005557060726249442,-0.004277933289750891,-0.01964915024594086,-0.5218795033636715,-0.0035153849436866625,-0.3285385802688116,-0.0022185433697072565,-1.275458706158266,-0.009919941457318879,1.4167182944647383,-1.120437536856684,-2.5797427470003753
2001/7/19,1215.02,5437.43,11908.39,0.006034533095433536,0.006057930243912435,0.0013285174785173186,0.5081169529334426,0.003956298372799954,0.4364152445503002,0.003362345757312118,0.04831909025238326,9.055968216890602e-4,0.6715473460725481,0.07201410275506018,0.7096310786919859
2001/7/20,1210.85,5387.05,11908.39,-0.003437945238008829,-0.00930859750953501,0,-0.33773973107708033,-0.002179619120334652,-0.7431537143952605,-0.005243459408908903,-0.03193347219529203,2.493105558811387e-4,0.8169243023768716,-0.03909984093945517,-1.9973597922235178
2001/7/23,1191.03,5405.28,11609.63,-0.01650411335156935,0.003378328375504053,-0.02540826758533816,-1.5226708876200579,-0.010775212143397913,0.24063669992241343,0.0019340002604112804,-1.7132909275234833,-0.013500428669767873,2.304733922970173,-0.8381081607576277,2.984853027209984
2001/7/24,1171.65,5320.16,11883.25,-0.016405467230525106,-0.015872875545414514,0.023294919421296287,-1.3913130723437663,-0.009822331198138733,-1.267803490637354,-0.009071157417236443,1.3450886901523005,0.01151026852779733,2.3135127707714394,0.6204549136027451,-2.402608731374377
2001/7/25,1190.49,5275.73,11891.61,0.015951975335219318,-0.008386319676373486,7.032638967849782e-4,1.2141163858411683,0.009077679278584383,-0.6120817174291563,-0.004287194783527333,0.0114682077377179,6.04239116219598e-4,1.3597257616768763,0.008434306410939925,-0.46695220544326094
2001/7/26,1202.93,5286.07,11858.56,0.010395260358389983,0.001958000208946718,-0.002783139769812782,0.8250264301677391,0.006255187111117084,0.12408131709788338,0.0010836447911059014,-0.20775715946054837,-0.0011885335158409284,0.8597835896521777,-0.2440544451014496,0.14927797222754136
2001/7/27,1205.82,5403.1,11798.08,0.0023995859983154313,0.02189780430497176,-0.00511316330365725,0.18077552624221327,0.0015817353714897154,1.5880597434802026,0.011764421874507042,-0.36827560676412724,-0.0025012149949256253,1.6401952512698121,-0.22646230055973715,1.4574500254979843
